Year,Month,Underground Line,Temperature
2021,October,Jubilee,22.27
2021,October,Northern,26
2021,October,Piccadilly,24.4
2021,October,Victoria,28.28
2021,October,Waterloo_and_City,19.76
2021,October,Sub-surface_lines,20.05
2021,November,Bakerloo,25.34
2021,November,Central,24.88
2021,November,Jubilee,20.08
2021,November,Northern,24.27
2021,November,Piccadilly,22.42
2021,November,Victoria,26.57
2021,November,Waterloo_and_City,17.9
2021,November,Sub-surface_lines,16.55
2021,December,Bakerloo,23.64
2021,December,Central,23.12
2021,December,Jubilee,18.02
2021,December,Northern,22.88
2021,December,Piccadilly,20.52
2021,December,Victoria,25.05
2021,December,Waterloo_and_City,17.25
2021,December,Sub-surface_lines,13.82
2022,January,Bakerloo,23.01
2022,January,Central,22.5
2022,January,Jubilee,17.59
2022,January,Northern,21.68
2022,January,Piccadilly,19.86
2022,January,Victoria,24.47
2022,January,Waterloo_and_City,15.51
2022,January,Sub-surface_lines,13.85
2022,February,Bakerloo,23.15
2022,February,Central,23.02
2022,February,Jubilee,18.08
2022,February,Northern,21.39
2022,February,Piccadilly,20.32
2022,February,Victoria,24.4
2022,February,Waterloo_and_City,16.93
2022,February,Sub-surface_lines,14.75
2022,March,Bakerloo,23.05
2022,March,Central,23.86
2022,March,Jubilee,19.32
2022,March,Northern,21.75
2022,March,Piccadilly,20.92
2022,March,Victoria,24.06
2022,March,Waterloo_and_City,17.59
2022,March,Sub-surface_lines,15.88
2022,April,Bakerloo,24.56
2022,April,Central,24.81
2022,April,Jubilee,20.73
2022,April,Northern,22.68
2022,April,Piccadilly,22.2
2022,April,Victoria,26.18
2022,April,Waterloo_and_City,18.69
2022,April,Sub-surface_lines,17.52
2022,May,Bakerloo,26.15
2022,May,Central,26.83
